ID_ORDEM_SERVICO,ID_UC,Estado Instalacion,Uso,Actividad Economica,Fecha Generacion,Fecha Ejecucion,FechaDescargue,Fecha Ultima Lectura,Estado OT,Observacion,Efectividad,Causa Efectividad,Causa Evento,Consumo promedio,Lectura en Visita,Ultimo Valor Leido,Oportunidad Ejecucion,Oportunidad Descargue,Diferencia Lectura,Dias entre lecturas,Promedio Consumo dia,Analisis Lectura,Promedio Dia Historico,Menor a Promedio,Score Lectura,Score Promedio,Total Puntaje,ID_Accion,Nombre Accion
EPMA4574000-1,12854120,ActivoCon suministro                         ,Residencial,Residencial estrato 2                                                                                                                                 ,2023-01-16,2023-02-08,2023-02-13,2023-01-12,Cerrada,"JORGE GRUESO : 23-01-2023,PAP 5715 SERIE MED :  MARCA:  LECTURA:  DIAMETRO: ,sin medidor con servicio directo,censado por upa con numero 258,usuario manifiesta que tenia medidor y cuando relizaron trabajos los retiraron Usuario: EPM\smartm Fecha: 2023-02-13 11:44:52 Se cambia el contrato debido a culminacion 31/12/2022 Usuario: WO0000001812415 Fecha: 2023-02-09 17:16:39",NO,No fraude,No fraude,0.0,258.0,0.0,18.0,3.0,258.0,27.0,9.555555555555555,Lectura Normal,0.0,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4573794-1,15012393,ActivoCon suministro                         ,Industrial ,Industrial                                                                                                                                            ,2023-01-16,2023-02-01,2023-02-07,2023-01-13,Cerrada,MEDIDOR BIEN INSTALADO NO REGISTRA EN PRUEBA DE LLAVE SE RETIRA MEDIDOR PARA EL LABORATORIO EN CADENA DE CUSTODIA CON BOLSA DE SEGURIDAD BM 17 00095 PRESINTO CB 17 01104 SE INSTALA MEDIDOR NUEVO SIN FUGA FECHA AL LABORATORIO: 08-02-2023  OFICIAL: GRUESO  JORGE ANTONIO SERIE INSTALADA: 2022502850 MARCA: WATERTECH LECTURA: 0 RETIRADO: 2019109039 LECTURA: 1 Usuario: EPM\smartm Fecha: 2023-02-07 10:33:26 Se cambia el contrato debido a culminacion 31/12/2022 Usuario: WO0000001812415 Fecha: 2023-02-09 17:16:40,SI,,Anomalía - Posible anomalía del medidor,513.0,0.0,22639.0,13.0,4.0,22639.0,19.0,1191.5263157894738,Lectura Normal,17.1,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4573998-1,13483885,ActivoCon suministro                         ,Oficial    ,Actividades de apoyo a la educaciÃ³n                                                                                                                   ,2023-01-16,2023-02-14,2023-02-19,2023-01-18,Cerrada,SIN MEDIDOR CON SERVICIO DIRECTO CON LLAVE DE ACERA CERRADA EL LOCAL NO TIENE PUNTOS DE CONSUMO USUARIO EST HACIENDO VUELTAS PARA RETIRARLO  OFICIAL: GRUESO  JORGE ANTONIO FECHA EJECUCIÓN: 24-01-2023 Usuario: EPM\smartm Fecha: 2023-02-19 11:16:53 Se cambia el contrato debido a culminacion 31/12/2022 Usuario: WO0000001812415 Fecha: 2023-02-09 17:16:40,NO,No fraude,No fraude,2628.0,0.0,7013.0,22.0,3.0,7013.0,27.0,259.74074074074076,Lectura Normal,87.6,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4573984-1,13294969,ActivoCon suministro                         ,Residencial,Residencial estrato 5                                                                                                                                 ,2023-01-16,2023-02-10,2023-02-15,2023-01-18,Cerrada,"DIEGO OCAMPO : 20-01-2023,PAP 5525 SERIE MED : 2014429408 MARCA: WATERTECH LECTURA: 08047  DIAMETRO: 1/2 ,se visita direccion,no se observa instalacion directa,medidor empotrado bien instalado,registra en prueba de llaves sin anomalias,no se observa manipulacion externa ni parches antes de caja,no suministran informacion no firman Usuario: EPM\ajoyar Fecha: 2023-02-15 12:44:42 Se cambia el contrato debido a culminacion 31/12/2022 Usuario: WO0000001812415 Fecha: 2023-02-09 17:16:39",NO,No fraude,No fraude,2.0,8047.0,8030.0,20.0,3.0,17.0,23.0,0.7391304347826086,Lectura Normal,0.06666666666666667,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4572932-1,13431927,ActivoCon suministro                         ,Residencial,Otras actividades de servicios personales n.c.p.                                                                                                      ,2023-01-16,2023-01-17,2023-01-17,2023-01-16,Cerrada,"Se revisa instalación comercial el cual es una tienda de buñuelos. Se revisó el elemento de medición internamente haciendo prueba de llaves, no encontrando anomalías, válvulas abiertas,  lectura de 00643, serie 2018 890 066 funcionando bien y bien instalado, tarifa comercial estado activo, no hay fraude.  Usuario: EPM\JHERL Fecha: 2023-01-17 08:44:22",NO,No fraude,No fraude,10.0,643.0,642.0,2.0,0.0,1.0,1.0,1.0,Lectura Normal,0.3333333333333333,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4572926-1,13901486,ActivoCon suministro                         ,Residencial,Residencial estrato 1                                                                                                                                 ,2023-01-16,2023-01-17,2023-01-17,2023-01-02,Cerrada,"Con esta dirección se encuentran 11 torres de apartamentos,  se necesita la información de la torre para revisar la anomalía  Usuario: EPM\EVALBUEN Fecha: 2023-01-17 09:55:29",NO,Información errada,Información errada,21.0,0.0,1661.0,2.0,0.0,1661.0,15.0,110.73333333333333,Lectura Normal,0.7,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4581655-1,13117850,ActivoCon suministro                         ,Comercial  ,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados                                                           ",2023-01-21,2023-01-26,2023-01-26,2023-01-18,Cerrada,"LA CENA (Charcuteria)
el medidor fue retirado y la instalacion fue taponada en toma, el cliente esta tramitando el retiro de la facturacion de la instalacion.
se estan surtiendo del medidor de la CR 47 No 58.- 04, un medidor SIRIUS de 1/2"" con una lectura de 00561 con No de serie 2012754150.
no hay fraude. Usuario: EPM\LBUSTAAG Fecha: 2023-01-26 13:45:27",NO,No fraude,Anomalia - Se surte de otra instalacion,0.0,561.0,0.0,4.0,0.0,561.0,8.0,70.125,Lectura Normal,0.0,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4544802-1,13522478,ActivoCon suministro                         ,Comercial  ,Mantenimiento y reparaciÃ³n de vehÃ­culos automotores                                                                                                   ,2022-12-11,2022-12-31,2023-01-05,2023-02-02,Cerrada,"MEDELLIN,CARLOS JARAMILLO : 15-12-2022,PAP 08620 SERIE MED :  MARCA:  LECTURA:  DIAMETRO: ,sin datos y fotos de instalacion ni caja ni tapa,se observan en terreno,predio es un taller de mecanica,los cuales no tienen puntos de consumo,arguemta que llevan años en el predio y nunca a existido un medidorr,tambien indica que siempre vienen a lo mismo,no firman no dan datos personales. Usuario: EPM\smartm Fecha: 2023-01-05 15:10:40",NO,No fraude,No fraude,2.0,2023.0,0.0,15.0,3.0,2023.0,33.0,61.303030303030305,Lectura Normal,0.06666666666666667,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4544668-1,12353459,ActivoCon suministro                         ,Residencial,Catering para eventos                                                                                                                                 ,2022-12-11,2022-12-31,2023-01-04,2023-02-01,Cerrada,"MEDELLIN,CARLOS JARAMILLO : 15-12-2022,PAP 08613 SERIE MED : 21-121285  MARCA: WATERTECH  LECTURA: 024390 DIAMETRO: 2"",medidorr principal de unidad resisdencial,la cual tiene 385 aptos,se encuentra en posicion correcta,sin signo de manipulacion externa,portero atiende visita el cual no da sus datos personales Usuario: EPM\smartm Fecha: 2023-01-04 16:55:52",NO,No fraude,No fraude,201.0,24390.0,30023.0,15.0,2.0,5633.0,32.0,176.03125,Lectura Normal,6.7,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
EPMA4544659-1,13100064,ActivoCon suministro                         ,Residencial,Expendio a la mesa de comidas preparadas                                                                                                              ,2022-12-11,2022-12-31,2023-01-04,2023-01-19,Cerrada,"MEDELLIN,JORGE GRUESO : 15-12-2022,PAP 08858 SERIE MED : 20-036920 MARCA: OMEGA LECTURA: 029600 DIAMETRO: 2"" ,medidorr bien instalado,registrando en prueba de llave,no se observa anomalias en el medidorr y acometida,no esta devolviendo lectura,medidorr general surte 176 aptos Usuario: EPM\smartm Fecha: 2023-01-04 16:55:42",NO,No fraude,No fraude,85.0,29600.0,32131.0,15.0,2.0,2531.0,19.0,133.21052631578948,Lectura Normal,2.8333333333333335,Igual o mayor a Promedio,3.0,1.0,4.0,No Asginada,No Asignada
