ID_ORDEM_SERVICO,ID_UC,Estado Instalacion,Uso,Actividad Economica,Fecha Generacion,Fecha Ejecucion,FechaDescargue,Fecha Ultima Lectura,Estado OT,Observacion,Efectividad,Causa Efectividad,Causa Evento,Consumo promedio,Lectura en Visita,Ultimo Valor Leido,Oportunidad Ejecucion,Oportunidad Descargue,Diferencia Lectura,Dias entre lecturas,Promedio Consumo dia,Analisis Lectura,Promedio Dia Historico,Menor a Promedio,Score Lectura,Score Promedio,Total Puntaje,ID_Accion,Nombre Accion
EPMA3935989-1,12285549,ActivoCon suministro                       ,Residencial,Residencial estrato 1                                                                                                                                 ,2021-09-10,2021-09-13,2021-09-13,2021-08-25 00:00:00,DescargadaParcial,"Se encuentra vivienda sin medidor, con servicio directo. Usuario dice que nunca ha tenido medidor de acueducto. Usuario: EPM\JACOSAC Fecha: 2021-09-13 10:43:15",SI,,Anomalia - Instalacion directa (Cliente EPM),2,0.0,0,2.0,0.0,0.0,19.0,0.0,Parado,0.06666666666666667,Menor a Promedio,10.0,7.0,17.0,35.389 ,1053_C_Otro_Canal_200820212               
EPMA3877311-1,12285712,ActivoCon suministro                       ,Comercial  ,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento                                                                            ,2021-07-23,2021-08-05,2021-08-05,2021-08-25 00:00:00,Cerrada,"Carlos Jaramillo 
Medidor Water tech de ½ serie#20113047667 con lectura 03164 en posición correcta sin signos de manipulación externa registra en prueba de llaves predio no residencial actividad económica es un bar razón social bar el Oscar el cual tiene 2 puntos de consumo el cual usuario manifiesta que el consumo varía de acuerdo a la cantidad de personas que transcurren en el lugar  Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-08-05 15:13:27",NO,No fraude,No fraude,12,3164.0,3172,10.0,0.0,8.0,20.0,0.4,Lectura Normal,0.4,Igual o mayor a Promedio,3.0,1.0,4.0,34.791 ,2528_C_CaidaConsumo_220720210             
EPMA3894208-1,12285932,ActivoCon suministro                       ,Residencial,Residencial estrato 3                                                                                                                                 ,2021-08-06,2021-08-19,2021-08-19,2021-09-01 00:00:00,Cerrada,Yonatan Giraldo predio solo no hay quien suministre información medidor bien instalado con cúpula impactada medidor marca wáter tech de 1/2 serie 2015450174 lectura ilegible se envía medidor para el laboratorio en bolsa de seguridad BM -17 00236 presinto CB 17-00366 se normaliza instalación mediante cambio de medidor provisional se dejan llaves y racores sin fugas fecha laboratorio 01-09-2021 predio residencial Usuario: EPM\YONATAN.GIRALDO Fecha: 2021-08-19 13:22:16,SI,,Anomalia - Medidor destruido,6,17.0,3,10.0,0.0,14.0,13.0,1.0769230769230769,Lectura Normal,0.2,Igual o mayor a Promedio,3.0,1.0,4.0,35.096 ,1053_C_Otro_Canal_050820211               
EPMA3860292-1,12286097,ActivoCon suministro                       ,Comercial  ,Otras actividades de atención de la salud humana                                                                                                      ,2021-07-09,2021-07-24,2021-07-27,2021-08-12 00:00:00,Cerrada,"SEBASTIAN BUILES FECHA VISITA :24/07/2021 PAP :1927  NO PERMITEN REALIZAR REVISION YA QUE NO HAY PERSONAL DE MANTENIMIENTO DISPONIBLE PARA ACOMPAÑAMIENTO SIN REGISTROS DEL MEDIDOR SIN DATOS, SE ESPERO DISPONIBILIDAD DE PERSONAL DE MANTENIMIENTO DURANTE 30 MINUTOS SIN OBTENER RESPUESTA , NO RESIDENCIAL, CENTRO COMERCIAL SANTA FE Usuario: EPM\aalvaalv Fecha: 2021-07-27 15:31:52",NO,Inspeccion No Realizada,No Aplica,12,0.0,50739,11.0,1.0,50739.0,19.0,2670.4736842105262,Lectura Normal,0.4,Igual o mayor a Promedio,3.0,1.0,4.0,34.568 ,2528_C_CaidaConsumo_080720210	            
EPMA3901950-1,12286401,ActivoCon suministro                       ,Comercial  ,Actividades inmobiliarias realizadas con bienes propios o arrendados                                                                                  ,2021-08-14,2021-08-31,2021-08-31,2021-08-21 00:00:00,Cerrada,Jorge grueso clase de uso no residencial actividad económica gimnasio  razón social sin nombre medidor ELSTER d 1½ serie #5238850027 con lectura# 16213 bien instalado registrando con prueba de llave usuario manifiesta que la caída de consumo se debe a que a bajado el trabajo por la pandemia Usuario: EPM\JORGE.GRUESO Fecha: 2021-08-31 11:32:53,NO,No fraude,No fraude,94,16213.0,16165,12.0,0.0,48.0,10.0,4.8,Lectura Normal,3.1333333333333333,Igual o mayor a Promedio,3.0,1.0,4.0,35.262 ,3050_C_CaidaConsumo_130820210	            
EPMA3877375-1,12286792,ActivoCon suministro                       ,Comercial  ,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento                                                                            ,2021-07-23,2021-08-10,2021-08-12,2021-08-25 00:00:00,Cerrada,"JORGE GRUESO FECHA VISITA : 10/08/2021 PAP : 1899 SERIE MED : 2016642258  MARCA: WATER TECH  LECTURA : 1596  DIAMETRO : 1/2   MEDIDOR BIEN INSTALADO REGISTRANDO EN PRUEBA DE LLAVES EMPOTRADO USUARIO MANIFIESTA QUE LA CAIDA DE CONSUMO SE DEBE A QUE ESTABAN DESPERDICIANDO MUCHA AGUA YA ESTAN CONTROLANDO MAS NO SE OBSERVA ANOMALIAS EN EL MEDIDOR Y ACOMETIDA , CANT PUNTOS CONSUMOS 3 CANT UNI NO HABITACIONALES 1 NO RESIDENCIAL , EL SAZON DEL GORDO Usuario: EPM\aalvaalv Fecha: 2021-08-12 07:54:22",NO,No fraude,No fraude,20,1596.0,1623,13.0,2.0,27.0,15.0,1.8,Lectura Normal,0.6666666666666666,Igual o mayor a Promedio,3.0,1.0,4.0,34.792 ,3029_C_CaidaConsumosBalanceHid_220720210  
EPMA3860283-1,12286868,ActivoCon suministro                       ,Comercial  ,Expendio a la mesa de comidas preparadas                                                                                                              ,2021-07-09,2021-07-19,2021-07-19,2021-08-13 00:00:00,Cerrada,Medidor Water tech 1/2 con serie#2020546686 y lectura#00066 en posición correcta se encuentra empotrados predio no residenciales es un discoteca Medidor sin signos de manipulación externas Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-07-19 16:18:07,NO,No fraude,No fraude,2,66.0,68,7.0,0.0,2.0,25.0,0.08,Lectura Baja,0.06666666666666667,Igual o mayor a Promedio,5.0,1.0,6.0,34.567 ,2382_C_InstacionesInteres_080720210       
EPMA3860324-1,12286948,ActivoCon suministro                       ,Comercial  ,"Actividades de estaciones, vías y servicios complementarios para el transporte terrestre                                                              ",2021-07-09,2021-07-16,2021-07-16,2021-08-12 00:00:00,Cerrada,"Se visita dirección en instalación no residencial actividad económica parqueadero metro con medidor empotrado marca watertech de 1""serie 166000553 y lectura 00701M3 se encuentra bien instalado registra en prueba de llaves usuario informa que dicho medidor surte baños ya que su actividad económica no depende del Servio de acueducto por tal motivo bajos consumos no se observa anomalía no suministran datos Usuario: EPM\SEBASTIAN.BUILES Fecha: 2021-07-16 15:44:06",NO,No fraude,No fraude,45,701.0,744,6.0,0.0,43.0,27.0,1.5925925925925926,Lectura Normal,1.5,Igual o mayor a Promedio,3.0,1.0,4.0,34.568 ,2528_C_CaidaConsumo_080720210	            
EPMA3877526-1,12287046,ActivoCon suministro                       ,Comercial  ,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados                            ,2021-07-23,2021-08-05,2021-08-05,2021-08-25 00:00:00,Cerrada,"Carlos  Jaramillo  
Medidor Water tech de 1/2 con Serie #2017795598 y lectura#01583 en posición correcta registra en pruebas de llaves predió no residencial actividad económica es una empresa de estampados razón social bohe's no atienden visita Usuario: EPM\CARLOS.JARAMILLO Fecha: 2021-08-05 12:56:01",NO,No fraude,No fraude,33,1583.0,1616,10.0,0.0,33.0,20.0,1.65,Lectura Normal,1.1,Igual o mayor a Promedio,3.0,1.0,4.0,34.792 ,3029_C_CaidaConsumosBalanceHid_220720210  
EPMA3877618-1,12287304,ActivoCon suministro                       ,Comercial  ,"Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico                                                              ",2021-07-23,2021-08-05,2021-08-05,2021-08-18 00:00:00,Cerrada,"SEBASTIAN BUILES
Se visita dirección en instalacion no residencial actividad económica restaurante nombre bj con medidor marca watertech de 1/2 serie 2017865299 y lectura 00538 M3 medidor bien instalad  registra en prueba de llaves consumos avanzado con normalidad usuario informa que la variación y los bajos consumos  es debido a la variación que ahí en el flujo de personas ya que no son la misma cantidad de personas todos los días no se observa ninguna anomalía  Usuario: EPM\SEBASTIAN.BUILES Fecha: 2021-08-05 14:39:30",NO,No fraude,No fraude,22,538.0,551,10.0,0.0,13.0,13.0,1.0,Lectura Normal,0.7333333333333333,Igual o mayor a Promedio,3.0,1.0,4.0,34.791 ,2528_C_CaidaConsumo_220720210             
